experiment,algorithm,repeat,fold,outer_fold_index,n_train,n_test,balanced_accuracy,roc_auc,sensitivity_at_95_specificity,achieved_specificity,mcc,brier_score,selected_threshold,train_time_s,prediction_time_s,prediction_time_ms_per_sample,best_inner_roc_auc
main_scaled,k-NN,3,5,15,456,113,0.9810529845741114,0.9989939637826962,1.0,0.9859154929577465,0.9621059691482227,0.019666380030415702,0.43770711593748207,0.08550096499999427,0.001391457000011087,0.012313778761160063,0.9897620112507144
main_scaled,Random Forest,1,1,1,455,114,0.9580740255486406,0.9864068129708483,0.9302325581395349,0.9577464788732394,0.9252853920667758,0.03480811403508772,0.375,1.1854313320000074,0.004511550000017905,0.03957500000015707,0.9902437185342743
main_scaled,Random Forest,1,2,2,455,114,0.9464461185718964,0.9977071732721914,1.0,0.9577464788732394,0.9068106119605033,0.02733685728612692,0.2875,1.197330352999984,0.00418648499999108,0.0367235526315007,0.9867665325594689
main_scaled,Random Forest,1,3,3,455,114,0.9384920634920635,0.9702380952380952,0.9047619047619048,1.0,0.8864143349643965,0.04318393640350878,0.65,1.1537476710000192,0.0037639260000332797,0.03301689473713403,0.9960213032581454
main_scaled,Random Forest,1,4,4,455,114,0.9652777777777778,0.996031746031746,0.9285714285714286,0.9722222222222222,0.9118992727752026,0.028771929824561403,0.6333333333333333,1.101905310999996,0.0020178529999839157,0.017700464912139613,0.9866909598557797
main_scaled,Random Forest,1,5,5,456,113,0.9788732394366197,0.9986586183769283,1.0,0.9577464788732394,0.9454611116354936,0.020532356194690266,0.5125,1.1676035380000371,0.0038050079999720765,0.03367263716789448,0.9923824775755178
main_scaled,Random Forest,2,1,6,455,114,0.9439895185063871,0.9775630527350148,0.9302325581395349,0.9577464788732394,0.8879790370127744,0.0442938169718921,0.5125,1.1606770240000515,0.003767643000003318,0.033049500000029104,0.9937155800685925
main_scaled,Random Forest,2,2,7,455,114,0.9697019325253848,0.9965607599082869,0.9767441860465116,0.9577464788732394,0.9438975339262832,0.027663546818987503,0.4,1.1107716879999998,0.0022089040000423665,0.01937635087756462,0.989755226882997
main_scaled,Random Forest,2,3,8,455,114,0.9623015873015872,0.9968584656084656,0.9761904761904762,0.9583333333333334,0.9246031746031746,0.025789879720472142,0.3875,1.198739291000038,0.0039673260000085975,0.03480110526323331,0.990808160752759
main_scaled,Random Forest,2,4,9,455,114,0.9742063492063492,0.9973544973544973,1.0,0.9722222222222222,0.9438975339262832,0.025968305981339156,0.4755113636363637,1.1827899470000034,0.0038866330000359994,0.03409327193014035,0.983964296706679
