experiment,algorithm,repeat,fold,outer_fold_index,n_train,n_test,balanced_accuracy,roc_auc,sensitivity_at_95_specificity,achieved_specificity,mcc,brier_score,selected_threshold,train_time_s,prediction_time_s,prediction_time_ms_per_sample,best_inner_roc_auc
no_scaling_ablation,RBF SVM,1,4,4,455,114,0.9196428571428572,0.9867724867724867,0.9523809523809523,0.9583333333333334,0.8483105513347052,0.04447192086809219,0.39984463952990845,0.38248338500000045,0.0010556379999684395,0.009259982455863505,0.9792100866200588
no_scaling_ablation,RBF SVM,1,5,5,456,113,0.9242119382964453,0.9892689470154259,0.9047619047619048,1.0,0.8484238765928906,0.04461060810678654,0.8025050904774745,0.39159972100003415,0.0010949370000048475,0.009689707964644668,0.9779039498417094
no_scaling_ablation,RBF SVM,2,1,6,455,114,0.895021290533901,0.980019652800524,0.8372093023255814,0.971830985915493,0.7938217753940708,0.05905618326356216,0.7373759423717917,0.39196506899997985,0.001045771999997669,0.00917343859647078,0.9791557086246317
no_scaling_ablation,RBF SVM,2,2,7,455,114,0.911562397641664,0.9868981329839501,0.9069767441860465,0.971830985915493,0.8520848856485194,0.04361261323438687,0.39752798250100546,0.40582479099998636,0.0013623209999877872,0.011950184210419186,0.9770834707382491
no_scaling_ablation,RBF SVM,2,3,8,455,114,0.8928571428571428,0.9646164021164021,0.8809523809523809,0.9583333333333334,0.835710894037345,0.059868098395586024,0.18025511037661754,0.3889920560000064,0.0011171099999955914,0.009799210526277117,0.9779184804115552
no_scaling_ablation,RBF SVM,2,4,9,455,114,0.8869047619047619,0.9814814814814814,0.8571428571428571,0.9861111111111112,0.7738095238095238,0.05753492033133506,0.6992120626933678,0.38194416499999306,0.0010700889999952778,0.009386745613993665,0.9779679461812426
no_scaling_ablation,RBF SVM,2,5,10,456,113,0.9453386988598256,0.9842387659289068,0.9047619047619048,0.9859154929577465,0.9053699749416133,0.04490104948457578,0.5976868817163955,0.3847031380000203,0.0010842899999943256,0.009595486725613502,0.9758051928065777
no_scaling_ablation,RBF SVM,3,1,11,455,114,0.9439895185063871,0.9859154929577465,0.9302325581395349,0.971830985915493,0.8879790370127744,0.043124013716549836,0.6429659534122989,0.39174162700004445,0.0010881860000040433,0.009545491228105643,0.9781606909268786
no_scaling_ablation,RBF SVM,3,2,12,455,114,0.8974778905994104,0.954471012119227,0.8604651162790697,0.9577464788732394,0.8121634463452103,0.062438291354934485,0.4580525793537438,0.3812578360000316,0.0010564879999606092,0.009267438596145695,0.9809790375060458
no_scaling_ablation,RBF SVM,3,3,13,455,114,0.9196428571428572,0.9884259259259258,0.8809523809523809,0.9583333333333334,0.8483105513347052,0.047197151166645,0.5,0.3953732500000342,0.0011730350000220824,0.010289780701948092,0.9746075715604802
no_scaling_ablation,RBF SVM,3,4,14,455,114,0.8978174603174603,0.9880952380952381,0.9285714285714286,0.9722222222222222,0.8320648228693744,0.0443525438241692,0.27410334075228115,0.3936837839999612,0.0011538449999761724,0.01012144736821204,0.977849228333993
no_scaling_ablation,RBF SVM,3,5,15,456,113,0.9004024144869215,0.9755197853789404,0.8333333333333334,0.9577464788732394,0.8092618680577427,0.06367064501185969,0.5784356815226457,0.39410637399998905,0.0010387909999849398,0.009192840707831326,0.9802770014400034
